id,season,week,home_team_x,home_points,away_team_x,away_points,homewin,cnt
400869452.0,2016.0,4.0,Indiana,28.0,Wake Forest,33.0,False,2
400756892.0,2015.0,2.0,Nevada,20.0,Arizona,44.0,False,2
401249001.0,2020.0,9.0,Wyoming,31.0,Hawai'i,7.0,True,2
400756993.0,2015.0,12.0,NC State,42.0,Syracuse,29.0,True,2
400757014.0,2015.0,2.0,USC,59.0,Idaho,9.0,True,2
400935330.0,2017.0,13.0,Washington,41.0,Washington State,14.0,True,2
400933911.0,2017.0,10.0,Texas A&M,27.0,Auburn,42.0,False,2
400763603.0,2015.0,3.0,Middle Tennessee,73.0,Charlotte,14.0,True,2
401012736.0,2018.0,2.0,Stanford,17.0,USC,3.0,True,2
400941814.0,2017.0,6.0,Connecticut,31.0,Memphis,70.0,False,2
400763607.0,2015.0,4.0,Charlotte,7.0,Florida Atlantic,17.0,False,2
400763626.0,2015.0,6.0,Western Kentucky,58.0,Middle Tennessee,28.0,True,2
401114172.0,2019.0,12.0,Oregon,34.0,Arizona,6.0,True,2
401110830.0,2019.0,8.0,Vanderbilt,21.0,Missouri,14.0,True,2
401234625.0,2020.0,9.0,Duke,53.0,Charlotte,19.0,True,2
400945259.0,2017.0,4.0,Air Force,24.0,San Diego State,28.0,False,2
401112206.0,2019.0,7.0,Purdue,40.0,Maryland,14.0,True,2
401012267.0,2018.0,2.0,Missouri,40.0,Wyoming,13.0,True,2
401015041.0,2018.0,11.0,UTEP,32.0,Middle Tennessee,48.0,False,2
401013127.0,2018.0,4.0,Syracuse,51.0,Connecticut,21.0,True,2
400933839.0,2017.0,1.0,Middle Tennessee,6.0,Vanderbilt,28.0,False,2
400869449.0,2016.0,4.0,North Carolina,37.0,Pittsburgh,36.0,True,2
400763515.0,2015.0,3.0,Penn State,28.0,Rutgers,3.0,True,2
400935320.0,2017.0,11.0,Utah,25.0,Washington State,33.0,False,2
400763621.0,2015.0,6.0,Florida Atlantic,26.0,Rice,27.0,False,2
401019475.0,2018.0,1.0,Hawai'i,59.0,Navy,41.0,True,2
400935247.0,2017.0,1.0,Arizona State,37.0,New Mexico State,31.0,True,2
401117905.0,2019.0,12.0,Temple,29.0,Tulane,21.0,True,2
400869041.0,2016.0,10.0,Arkansas,31.0,Florida,10.0,True,2
401110820.0,2019.0,7.0,Missouri,38.0,Ole Miss,27.0,True,2
401117525.0,2019.0,8.0,Hawai'i,26.0,Air Force,56.0,False,2
400763535.0,2015.0,6.0,Michigan,38.0,Northwestern,0.0,True,2
400764910.0,2015.0,11.0,South Florida,44.0,Temple,23.0,True,2
400764881.0,2015.0,6.0,BYU,45.0,East Carolina,38.0,True,2
401405140.0,2022.0,11.0,Penn State,,Maryland,,True,2
401012791.0,2018.0,12.0,UCLA,34.0,USC,27.0,True,2
401020685.0,2018.0,4.0,Toledo,63.0,Nevada,44.0,True,2
401013177.0,2018.0,12.0,Georgia Tech,30.0,Virginia,27.0,True,2
400938617.0,2017.0,4.0,Middle Tennessee,24.0,Bowling Green,13.0,True,2
400934539.0,2017.0,9.0,Oklahoma,49.0,Texas Tech,27.0,True,2
400869367.0,2016.0,4.0,Rice,35.0,North Texas,42.0,False,2
400757056.0,2015.0,8.0,UCLA,40.0,California,24.0,True,2
