id,season,home_team_x,home_points,away_team_x,away_points
400756932.0,2015.0,Boston College,17.0,Northern Illinois,14.0
400756932.0,2015.0,Boston College,17.0,Northern Illinois,14.0
400763609.0,2015.0,Louisiana Tech,27.0,Florida International,17.0
400763609.0,2015.0,Louisiana Tech,27.0,Florida International,17.0
400763422.0,2015.0,Baylor,70.0,Rice,17.0
400763422.0,2015.0,Baylor,70.0,Rice,17.0
400763426.0,2015.0,West Virginia,45.0,Maryland,6.0
400763426.0,2015.0,West Virginia,45.0,Maryland,6.0
400603844.0,2015.0,Florida,28.0,Tennessee,27.0
400603844.0,2015.0,Florida,28.0,Tennessee,27.0
400763518.0,2015.0,Iowa,62.0,North Texas,16.0
400763518.0,2015.0,Iowa,62.0,North Texas,16.0
400763524.0,2015.0,Ohio State,38.0,Western Michigan,12.0
400763524.0,2015.0,Ohio State,38.0,Western Michigan,12.0
400763521.0,2015.0,Minnesota,27.0,Ohio,24.0
400763521.0,2015.0,Minnesota,27.0,Ohio,24.0
400756937.0,2015.0,East Carolina,35.0,Virginia Tech,28.0
400756937.0,2015.0,East Carolina,35.0,Virginia Tech,28.0
400763525.0,2015.0,Penn State,37.0,San Diego State,21.0
400763525.0,2015.0,Penn State,37.0,San Diego State,21.0
400763583.0,2015.0,Notre Dame,62.0,UMass,27.0
400763583.0,2015.0,Notre Dame,62.0,UMass,27.0
400763613.0,2015.0,Western Kentucky,56.0,Miami (OH),14.0
400763613.0,2015.0,Western Kentucky,56.0,Miami (OH),14.0
400763517.0,2015.0,Illinois,27.0,Middle Tennessee,25.0
400763517.0,2015.0,Illinois,27.0,Middle Tennessee,25.0
400603841.0,2015.0,Alabama,34.0,Louisiana Monroe,0.0
400603841.0,2015.0,Alabama,34.0,Louisiana Monroe,0.0
400787314.0,2015.0,Toledo,37.0,Arkansas State,7.0
400787314.0,2015.0,Toledo,37.0,Arkansas State,7.0
400603847.0,2015.0,Ole Miss,27.0,Vanderbilt,16.0
400603847.0,2015.0,Ole Miss,27.0,Vanderbilt,16.0
400603846.0,2015.0,Kentucky,21.0,Missouri,13.0
400603846.0,2015.0,Kentucky,21.0,Missouri,13.0
400763523.0,2015.0,Northwestern,24.0,Ball State,19.0
400763523.0,2015.0,Northwestern,24.0,Ball State,19.0
400763527.0,2015.0,Wisconsin,28.0,Hawai'i,0.0
400763527.0,2015.0,Wisconsin,28.0,Hawai'i,0.0
400764872.0,2015.0,Houston,59.0,Texas State,14.0
400764872.0,2015.0,Houston,59.0,Texas State,14.0
400787244.0,2015.0,San José State,49.0,Fresno State,23.0
400787244.0,2015.0,San José State,49.0,Fresno State,23.0
400764873.0,2015.0,Cincinnati,34.0,Miami,23.0
