id,season,week,start_date,venue,home_team,home_points,away_team,away_conference,away_points
401247296,2020,8,2020-10-24T19:30:00.000Z,Ross-Ade Stadium,Purdue,24.0,Iowa,Big Ten,20.0
401234623,2020,8,2020-10-24T19:30:00.000Z,BB&T Field,Wake Forest,23.0,Virginia Tech,ACC,16.0
401236008,2020,8,2020-10-24T19:30:00.000Z,Darrell K Royal-Texas Memorial Stadium,Texas,27.0,Baylor,Big 12,16.0
401212552,2020,8,2020-10-24T19:30:00.000Z,Navy-Marine Corps Memorial Stadium,Navy,21.0,Houston,American Athletic,37.0
401236009,2020,8,2020-10-24T19:30:00.000Z,Boone Pickens Stadium,Oklahoma State,24.0,Iowa State,Big 12,21.0
401207158,2020,8,2020-10-24T19:30:00.000Z,Rice Stadium,Rice,34.0,Middle Tennessee,Conference USA,40.0
401237114,2020,8,2020-10-24T19:30:00.000Z,Neyland Stadium,Tennessee,17.0,Alabama,SEC,48.0
401234622,2020,8,2020-10-24T19:41:00.000Z,Heinz Field,Pittsburgh,3.0,Notre Dame,FBS Independents,45.0
401237122,2020,8,2020-10-24T20:00:00.000Z,Faurot Field,Missouri,20.0,Kentucky,SEC,10.0
401234617,2020,8,2020-10-24T20:00:00.000Z,Alumni Stadium,Boston College,48.0,Georgia Tech,ACC,27.0
401215317,2020,8,2020-10-24T20:00:00.000Z,Veterans Memorial Stadium,Troy,34.0,Georgia State,Sun Belt,36.0
401207102,2020,8,2020-10-24T20:00:00.000Z,Houchens Industries-L. T. Smith Stadium,Western Kentucky,13.0,Chattanooga,Southern,10.0
401236012,2020,8,2020-10-24T21:30:00.000Z,Jones AT&T Stadium,Texas Tech,34.0,West Virginia,Big 12,27.0
401237118,2020,8,2020-10-24T23:00:00.000Z,Tiger Stadium,LSU,52.0,South Carolina,SEC,24.0
401248997,2020,8,2020-10-24T23:00:00.000Z,Albertsons Stadium,Boise State,42.0,Utah State,Mountain West,13.0
401250784,2020,8,2020-10-24T23:00:00.000Z,Hancock Whitney Stadium,South Alabama,38.0,Louisiana Monroe,Sun Belt,14.0
401248998,2020,8,2020-10-24T23:00:00.000Z,Mackay Stadium,Nevada,37.0,Wyoming,Mountain West,34.0
401247294,2020,8,2020-10-24T23:30:00.000Z,TCF Bank Stadium,Minnesota,24.0,Michigan,Big Ten,49.0
401247298,2020,8,2020-10-24T23:30:00.000Z,Ryan Field,Northwestern,43.0,Maryland,Big Ten,3.0
401248994,2020,8,2020-10-24T23:30:00.000Z,Bulldog Stadium,Fresno State,19.0,Hawai'i,Mountain West,34.0
401234620,2020,8,2020-10-25T00:00:00.000Z,Hard Rock Stadium,Miami,19.0,Virginia,ACC,14.0
401207157,2020,8,2020-10-25T00:00:00.000Z,Alamodome,UT San Antonio,27.0,Louisiana Tech,Conference USA,26.0
401212488,2020,8,2020-10-25T01:00:00.000Z,Gerald J. Ford Stadium,SMU,13.0,Cincinnati,American Athletic,42.0
401240998,2020,8,2020-10-25T02:15:00.000Z,LaVell Edwards Stadium,BYU,52.0,Texas State,Sun Belt,14.0
401248993,2020,8,2020-10-25T02:30:00.000Z,Spartan Stadium,San José State,17.0,Air Force,Mountain West,6.0
401248996,2020,8,2020-10-25T02:30:00.000Z,Qualcomm Stadium,San Diego State,34.0,UNLV,Mountain West,6.0
401215321,2020,9,2020-10-29T23:30:00.000Z,Paulson Stadium,Georgia Southern,24.0,South Alabama,Sun Belt,17.0
401249000,2020,9,2020-10-30T02:00:00.000Z,Bulldog Stadium,Fresno State,38.0,Colorado State,Mountain West,17.0
401247675,2020,9,2020-10-30T23:00:00.000Z,Saluki Stadium,Southern Illinois,20.0,Southeast Missouri State,OVC,17.0
401247302,2020,9,2020-10-30T23:30:00.000Z,Maryland Stadium,Maryland,45.0,Minnesota,Big Ten,44.0
401212533,2020,9,2020-10-31T01:00:00.000Z,Skelly Field at H. A. Chapman Stadium,Tulsa,34.0,East Carolina,American Athletic,30.0
401249001,2020,9,2020-10-31T01:45:00.000Z,War Memorial Stadium,Wyoming,31.0,Hawai'i,Mountain West,7.0
401207162,2020,9,2020-10-31T16:00:00.000Z,FAU Stadium,Florida Atlantic,24.0,UT San Antonio,Conference USA,3.0
401247305,2020,9,2020-10-31T16:00:00.000Z,Michigan Stadium,Michigan,24.0,Michigan State,Big Ten,27.0
401236015,2020,9,2020-10-31T16:00:00.000Z,Mountaineer Field at Milan Puskar Stadium,West Virginia,37.0,Kansas State,Big 12,10.0
401247301,2020,9,2020-10-31T16:00:00.000Z,Memorial Stadium,Illinois,24.0,Purdue,Big Ten,31.0
401237117,2020,9,2020-10-31T16:00:00.000Z,Commonwealth Stadium,Kentucky,3.0,Georgia,SEC,14.0
401234624,2020,9,2020-10-31T16:00:00.000Z,Memorial Stadium,Clemson,34.0,Boston College,ACC,28.0
401236014,2020,9,2020-10-31T16:00:00.000Z,Memorial Stadium,Kansas,22.0,Iowa State,Big 12,52.0
401234629,2020,9,2020-10-31T16:00:00.000Z,Carrier Dome,Syracuse,14.0,Wake Forest,ACC,38.0
401212543,2020,9,2020-10-31T16:00:00.000Z,Nippert Stadium,Cincinnati,49.0,Memphis,American Athletic,10.0
401212517,2020,9,2020-10-31T16:00:00.000Z,Benson Field at Yulman Stadium,Tulane,38.0,Temple,American Athletic,3.0
401215318,2020,9,2020-10-31T16:00:00.000Z,Georgia State Stadium,Georgia State,0.0,Coastal Carolina,Sun Belt,51.0
401212538,2020,9,2020-10-31T18:00:00.000Z,John O'Quinn Field at TDECU Stadium,Houston,21.0,UCF,American Athletic,44.0
401207166,2020,9,2020-10-31T19:00:00.000Z,M. M. Roberts Stadium,Southern Mississippi,6.0,Rice,Conference USA,30.0
401215320,2020,9,2020-10-31T19:00:00.000Z,Centennial Bank Stadium,Arkansas State,10.0,Troy,Sun Belt,38.0
401250213,2020,9,2020-10-31T19:00:00.000Z,Homer Bryce Stadium,Stephen F. Austin,64.0,Western State,Rocky Mountain,7.0
401248073,2020,9,2020-10-31T19:00:00.000Z,Five Star Stadium at the Moye Complex,Mercer,17.0,Abilene Christian,Southland,20.0
401247303,2020,9,2020-10-31T19:30:00.000Z,Kinnick Stadium,Iowa,20.0,Northwestern,Big Ten,21.0
401247300,2020,9,2020-10-31T19:30:00.000Z,SHI Stadium,Rutgers,21.0,Indiana,Big Ten,37.0
401236013,2020,9,2020-10-31T19:30:00.000Z,McLane Stadium,Baylor,23.0,TCU,Big 12,33.0
